Producto,Bodega,País,Mundo,Tipo,URL
Chateau Smith Cabernet Sauvignon,Charles Smith Wines,Estados Unidos,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/charles-smith-wines-chateau-smith-cabernet-sauvignon/
Schrader RBS Cabernet Sauvignon,Schrader Cellars,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/schrader-cellars-schrader-rbs-cabernet-sauvignon/
Pinot Noir,Meiomi,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/meiomi-pinot-noir/
Blend Rosé,Meiomi,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/meiomi-blend-rose/
Petite Syrah,Stags Leap,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/stags-leap-petite-sirah/
Saldo Zinfandel,The Prisoner Wine Company,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/the-prisoner-wine-company-saldo-zinfandel/
Unshackled Cabernet Sauvignon,The Prisoner Wine Company,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/the-prisoner-wine-company-unshackled-cabernet-sauvignon/
Chardonnay,Stags Leap,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/stags-leap-chardonnay/
Moscato,Ménage á Trois,Estados Unidos,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/menage-a-trois-moscato/
Decadence Cabernet Sauvignon,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-decadence-cabernet-sauvignon/
Cabernet Sauvignon,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-cabernet-sauvignon/
Merlot,Chateau St. Jean,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/chateau-st-jean-merlot/
Diamond 300ml,Momokawa,Estados Unidos,Nuevo Mundo,Sake ,https://vvb.com.mx/wp/producto/momokawa-diamond-300ml/
Cinq Cepages Cabernet Sauvignon,Chateau St. Jean,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/chateau-st-jean-cinq-cepages-cabernet-sauvignon/
Pinot Gris,14 Hands,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/14-hands-pinot-gris/
Reserve Malbec,Michel Torino,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/michel-torino-reserve-malbec/
Selección Cabernet Sauvignon,Michel Torino,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/michel-torino-seleccion-cabernet-sauvignon/
Selección Torrontes,Michel Torino,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/michel-torino-seleccion-torrontes/
Chardonnay,14 Hands,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/14-hands-chardonnay/
Cabernet Sauvignon,14 Hands,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/14-hands-cabernet-sauvignon/
Selección Malbec,Michel Torino,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/michel-torino-seleccion-malbec/
Merlot,14 Hands,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/14-hands-merlot/
Sauvignon Blanc,Finca La Colonia,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/finca-la-colonia-sauvignon-blanc/
Chardonnay,Finca La Colonia,Argentina,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/finca-la-colonia-chardonnay/
Malbec,Finca La Colonia,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/finca-la-colonia-malbec/
 Merlot,Finca La Colonia,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/finca-la-colonia-merlot/
Chardonnay – Sonoma,Chateau St. Jean,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/chateau-st-jean-chardonnay-sonoma/
Etesian Chardonnay,Gloria Ferrer,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/gloria-ferrer-etesian-chardonnay/
Cabernet Sauvignon,Chateau St. Jean,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/chateau-st-jean-cabernet-sauvignon/
Pinot Noir Carneros,Gloria Ferrer,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/gloria-ferrer-pinot-noir-carneros/
Sauvignon Blanc,Newen,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/newen-sauvignon-blanc/
Malbec,Newen,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/bodega-del-fin-del-mundo-newen-malbec/
Blanc de Noirs,Gloria Ferrer,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/gloria-ferrer-blanc-de-noirs/
Sonoma Brut,Gloria Ferrer,Estados Unidos,Nuevo Mundo,Espumoso ,https://vvb.com.mx/wp/producto/gloria-ferrer-sonoma-brut/
 Sparkling Brut,Fre,Estados Unidos,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/fre-sparkling-brut/
Red Blend,Fre,Estados Unidos,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/fre-red-blend/
White Zinfandel,Fre,Estados Unidos,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/fre-white-zinfandel/
Midnight Red,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-midnight-red/
Moscato,Fre,Estados Unidos,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/fre-moscato/
Luscious Pinot Noir,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-luscious-pinot-noir/
Gold Chardonnay,Ménage á Trois,Estados Unidos,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/menage-a-trois-gold-chardonnay/
Silk Red,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-silk-red/
Lavish Merlot,Ménage á Trois,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/menage-a-trois-lavish-merlot/
Pearl,Momokawa,Estados Unidos,Nuevo Mundo,Sake ,https://vvb.com.mx/wp/producto/momokawa-pearl/
Diamond 750ml,Momokawa,Estados Unidos,Nuevo Mundo,Sake ,https://vvb.com.mx/wp/producto/momokawa-diamond-750ml/
Three Valleys,Ridge,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/ridge-three-valleys/
G,Momokawa,Estados Unidos,Nuevo Mundo,Sake ,https://vvb.com.mx/wp/producto/momokawa-g/
Estate Cabernet Sauvignon,Ridge,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/ridge-estate-cabernet-sauvignon/
Cabernet Sauvignon,Stags Leap,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/stags-leap-cabernet-sauvignon/
White Zinfandel,Sutter Home,Estados Unidos,Nuevo Mundo, Rosado,https://vvb.com.mx/wp/producto/sutter-home-white-zinfandel/
The Prisoner Red Blend,The Prisoner Wine Company,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/the-prisoner-wine-company-the-prisoner-red-blend/
Thorn Merlot,The Prisoner Wine Company,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/the-prisoner-wine-company-thorn-merlot/
Cabernet Sauvignon,Mount Veeder Winery,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/mount-veeder-winery-cabernet-sauvignon/
Double Diamond Cabernet Sauvignon,Schrader Cellars,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/schrader-cellars-double-diamond-cabernet-sauvignon/
Derange Red Blend,The Prisoner Wine Company,Estados Unidos,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/the-prisoner-wine-company-derange-red-blend/
Boom Boom! Syrah,Charles Smith Wines,Estados Unidos,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/charles-smith-boom-boom-syrah/
Band of Roses Rosé,Charles Smith Wines,Estados Unidos,Nuevo Mundo, Riesling,https://vvb.com.mx/wp/producto/charles-smith-band-of-roses-rose/
Kung Fu Girl Riesling,Charles Smith Wines,Estados Unidos,Nuevo Mundo, Riesling,https://vvb.com.mx/wp/producto/charles-smith-wines-kung-fu-girl-riesling/
The Velvet Devil Merlot,Charles Smith Wines,Estados Unidos,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/charles-smith-wines-the-velvet-devil-merlot/
Malbec,Achaval Ferrer,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/achaval-ferrer-malbec/
Mendoza 2015 Malbec D.O.C.,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-mendoza-2015-malbec-d-o-c/
Espumoso Clásico Extra Brut,Norton,Argentina,Nuevo Mundo, Blanco espumoso,https://vvb.com.mx/wp/producto/norton-espumoso-clasico-extra-brut-2/
Finca Piedra Infinita,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-finca-piedra-infinita/
Quimera,Achaval Ferrer,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/achaval-ferrer-quimera/
Privada,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-privada/
Reserva,Valmar Presente del Sol,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/valmar-presente-del-sol-reserva/
Juan Carrau Amat Tannat,Bodegas Carrau,Uruguay,Nuevo Mundo,Tinto,https://vvb.com.mx/wp/producto/bodegas-carrau-juan-carrau-amat-tannat/
Juan Carrau Tannat de Reserva,Bodegas Carrau,Uruguay,Nuevo Mundo,Tinto,https://vvb.com.mx/wp/producto/bodegas-carrau-juan-carrau-tannat-de-reserva/
Juan Carrau Tannat,Bodegas Carrau,Uruguay,Nuevo Mundo,Tinto,https://vvb.com.mx/wp/producto/bodegas-carrau-juan-carrau-tannat/
Chardonnay,Emevé,México,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/emeve-chardonnay/
Cabernet Sauvignon,Xecué,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/xecue-cabernet-sauvignon/
Reserva,Xecué,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/xecue-reserva/
50ml,Damiana,México,Nuevo Mundo,Licor de Guaycura ,https://vvb.com.mx/wp/producto/damiana-50-ml/
Esfera,Valmar,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/valmar-esfera/
Casta Pitaya,Casta de Vinos,México,Nuevo Mundo,Rosado ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-pitaya/
Tinto 750ml,Analogía,México,Nuevo Mundo,Tinto,https://vvb.com.mx/wp/producto/analogia-tinto-750ml/
Tinto 375ml,Analogía,México,Nuevo Mundo,Tinto,https://vvb.com.mx/wp/producto/analogia-tinto-375ml/
Espumoso Brut 375ml,Analogía,México,Nuevo Mundo,Espumoso ,https://vvb.com.mx/wp/producto/analogia-espumoso-375ml/
Rosado,Analogía,México,Nuevo Mundo,Rosado ,https://vvb.com.mx/wp/producto/analogia-vino-rosado/
Espumoso Amabile,Analogía,México,Nuevo Mundo,Espumoso ,https://vvb.com.mx/wp/producto/analogia-espumoso-amabile/
Espumoso Brut 750ml,Analogía,México,Nuevo Mundo,Espumoso ,https://vvb.com.mx/wp/producto/analogia-espumoso-brut-750ml/
Blanco,Analogía,México,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/analogia-blanco/
Mourverde (producción limitada),Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-mourverde-produccion-limitada/
Casta Cirio,Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-cirio/
Casta Blanca,Casta de Vinos,México,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-blanca/
Casta Petit Verdot (producción limitada),Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-petit-verdot-produccion-limitada/
Casta Cardón,Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-cardon/
Casta Cabernet Sauvignon,Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-casta-cabernet-sauvignon/
Syrah (producción limitada),Casta de Vinos,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/casta-de-vinos-syrah-produccion-limitada/
Tempranillo,Cavas Valmar,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/cavas-valmar-tempranillo/
Cabernet Sauvignon (producción limitada),Cavas Valmar,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/cavas-valmar-cabernet-sauvignon-produccion-limitada/
Chenin Blanc,Cavas Valmar,México,Nuevo Mundo,Blanco ,https://vvb.com.mx/wp/producto/cavas-valmar-chenin-blanc/
Merlot,Xecué,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/xecue-merlot/
D4 Selección,Cavas Valmar,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/cavas-valmar-d4-seleccion/
Etnia,Xecué,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/xecue-etnia/
Kumeey,Xecué,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/xecue-kumeey/
Syrah,Emevé,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/emeve-syrah/
Malbec,Emevé,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/emeve-malbec/
Armonía de Tintos,Emevé,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/emeve-armonia-de-tintos/
Los Nietos (Mezcla Bordalesa),Emevé,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/emeve-los-nietos-mezcla-bordalesa/
Cabernet Sauvignon,Emevé,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/emeve-cabernet-sauvignon/
Luz,Valmar Luna Del Valle,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/valmar-luna-del-valle-luz/
Sombra (producción limitada),Valmar Luna Del Valle,México,Nuevo Mundo,Tinto ,https://vvb.com.mx/wp/producto/valmar-luna-del-valle-sombra-produccion-limitada/
Aluvional Paraje Altamira,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-aluvional-paraje-altamira/
José Zuccardi Malbec,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-jose-zuccardi-malbec/
Concreto Malbec,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-concreto-malbec/
Serie Q Chardonnay,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-q-chardonnay/
Emma Bonarda,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-emma-bonarda/
Serie Q Tempranillo,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-q-tempranillo/
Serie Q Cabernet Sauvignon,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-q-cabernet-sauvignon/
Serie Q Cabernet Franc,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-q-cabernet-franc/
Serie Q Malbec,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-q-malbec/
Serie A Torrontes,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-a-torrontes/
Serie A Malbec,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-a-malbec/
Los Olivos Malbec,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-los-olivos-malbec/
Colección Malbec,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-coleccion-malbec/
Serie A Bonarda,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-serie-a-bonarda/
Colección Torrontés,Norton,Argentina,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/norton-coleccion-torrontes/
Los Olivos Chardonnay,Zuccardi,Argentina,Nuevo Mundo,,https://vvb.com.mx/wp/producto/zuccardi-los-olivos-chardonnay/
Colección Chardonnay,Norton,Argentina,Nuevo Mundo, Blanco,https://vvb.com.mx/wp/producto/norton-coleccion-chardonnay/
Colección Cabernet Sauvignon,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-coleccion-cabernet-sauvignon-2/
Gernot Langes,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-gernot-langes/
Barrel Select Malbec,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-barrel-select-malbec/
Espumoso Cosecha Especial Brut Rosé,Norton,Argentina,Nuevo Mundo, Rosa espumoso,https://vvb.com.mx/wp/producto/norton-espumoso-cosecha-especial-brut-rose/
Espumoso Cosecha Especial Extra Brut,Norton,Argentina,Nuevo Mundo, Blanco espumoso,https://vvb.com.mx/wp/producto/norton-espumoso-cosecha-especial-extra-brut/
Reserva Malbec,Norton,Argentina,Nuevo Mundo, Tinto,https://vvb.com.mx/wp/producto/norton-reserva-malbec/
